CNES - Equipes de Saúde - Brasil
Quantidade por Município e Ano/mês compet.
Período:2023
"Município";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"110001 ALTA FLORESTA D'OESTE";12;12;11;11;11;11;11;11;11;11;11;11
"110002 ARIQUEMES";31;31;31;31;31;31;31;31;31;31;31;31
"110003 CABIXI";5;5;5;5;5;5;5;5;5;5;5;5
"110004 CACOAL";32;32;32;31;31;31;31;31;31;30;30;30
"110005 CEREJEIRAS";7;7;8;8;8;8;8;8;8;8;8;8
"110006 COLORADO DO OESTE";6;6;6;6;6;6;6;6;6;6;6;6
"110007 CORUMBIARA";4;4;4;4;4;4;4;4;4;5;5;5
"110008 COSTA MARQUES";9;9;9;9;9;9;9;9;9;9;9;9
"110009 ESPIGAO D'OESTE";7;7;7;7;7;7;7;7;7;7;7;7
"110010 GUAJARA-MIRIM";19;19;19;19;19;19;19;19;19;19;19;19
"110011 JARU";24;24;24;24;24;24;24;24;24;24;26;26
"110012 JI-PARANA";39;39;39;39;39;39;39;41;41;41;41;41
"110013 MACHADINHO D'OESTE";11;11;11;11;11;11;11;11;11;11;11;11
"110014 NOVA BRASILANDIA D'OESTE";8;8;8;8;8;8;8;8;8;8;8;8
"110015 OURO PRETO DO OESTE";18;18;18;18;18;18;18;18;18;18;18;18
"110018 PIMENTA BUENO";12;12;12;12;12;14;14;14;14;14;14;14
"110020 PORTO VELHO";204;204;205;206;206;205;206;206;206;206;206;206
"110025 PRESIDENTE MEDICI";15;14;14;14;14;14;14;14;14;14;14;14
"110026 RIO CRESPO";3;3;3;3;3;4;4;4;4;4;4;4
"110028 ROLIM DE MOURA";24;24;24;24;24;24;24;24;24;24;24;24
"110029 SANTA LUZIA D'OESTE";5;5;5;5;5;5;5;5;5;5;5;5
"110030 VILHENA";49;47;49;49;49;50;50;49;55;55;55;53
"110032 SAO MIGUEL DO GUAPORE";8;8;8;8;8;8;8;8;8;8;8;8
"110033 NOVA MAMORE";8;8;8;8;8;8;8;9;9;10;10;10
"110034 ALVORADA D'OESTE";5;5;5;5;5;6;7;7;7;7;7;7
"110037 ALTO ALEGRE DOS PARECIS";12;12;12;12;12;12;13;13;13;13;13;13
"110040 ALTO PARAISO";6;6;6;6;6;7;8;8;8;8;8;8
"110045 BURITIS";15;15;15;15;15;16;16;16;16;16;16;16
"110050 NOVO HORIZONTE DO OESTE";5;5;5;5;5;5;5;5;5;5;5;5
"110060 CACAULANDIA";5;5;5;5;5;5;5;5;5;5;5;5
"110070 CAMPO NOVO DE RONDONIA";5;5;5;5;5;5;5;5;5;5;5;5
"110080 CANDEIAS DO JAMARI";12;12;12;12;12;12;12;12;14;14;14;14
"110090 CASTANHEIRAS";5;5;5;5;5;5;5;5;4;5;5;5
"110092 CHUPINGUAIA";8;7;7;7;7;7;8;8;8;8;8;8
"110094 CUJUBIM";5;5;5;5;5;7;7;7;7;7;7;7
